OrderID,Platform,City,Restaurant,Cuisine,OrderValue,DeliveryTime,CustomerRating,OrderHour,OrderDay
122,Zomato,Chennai,Johnson-Carlson,Chinese,557.98,49,4,16,Weekend
123,Swiggy,Hyderabad,Chandler-Edwards,Fast Food,230.18,39,5,17,Weekday
124,Swiggy,Bangalore,"Joyce, Wilson and Lam",Biryani,811.01,68,3,21,Weekend
125,Swiggy,Bangalore,Scott Ltd,Mughlai,368.7,90,4,19,Weekend
126,Swiggy,Hyderabad,Smith-Frost,Fast Food,535.91,57,4,17,Weekend
127,Zomato,Bangalore,"Mcdaniel, Bentley and Mclaughlin",Biryani,269.79,45,4,12,Weekend
128,Swiggy,Bangalore,Diaz Inc,Mughlai,525.68,63,3,19,Weekday
129,Zomato,Mumbai,"Mccall, Hanson and Alvarado",South Indian,552.06,90,3,10,Weekend
130,Swiggy,Pune,Cortez LLC,Italian,113.81,33,4,19,Weekday
131,Swiggy,Hyderabad,"Parker, Ortiz and Powell",Biryani,972.28,58,4,15,Weekday
132,Zomato,Kolkata,Spencer-Lee,Mughlai,873.41,63,5,19,Weekend
133,Swiggy,Pune,"Bentley, Byrd and Orr",North Indian,311.29,51,5,20,Weekday
134,Zomato,Mumbai,"Carroll, Sullivan and Bass",Biryani,670.37,27,4,20,Weekend
135,Swiggy,Mumbai,Mitchell-Jordan,Chinese,816.53,52,3,15,Weekday
136,Swiggy,Pune,"Lawson, Morris and Ramos",Italian,609.34,38,3,10,Weekend
137,Swiggy,Hyderabad,"Lewis, Kennedy and Santana",Fast Food,228.81,74,4,16,Weekend
138,Swiggy,Kolkata,"Jackson, Miller and Robertson",Italian,911.09,84,3,16,Weekend
139,Zomato,Chennai,"Harvey, Davis and Crane",Italian,721.28,73,5,12,Weekend
140,Zomato,Mumbai,Chambers and Sons,South Indian,443.23,60,4,20,Weekend
141,Swiggy,Kolkata,Hernandez Inc,Mughlai,456.23,16,4,19,Weekday
142,Zomato,Kolkata,Riggs PLC,Chinese,798.17,44,4,14,Weekday
143,Swiggy,Pune,Gibson Ltd,Chinese,709.99,32,4,23,Weekday
144,Zomato,Kolkata,"Lee, Horton and Snyder",Italian,130.03,61,4,10,Weekend
145,Zomato,Chennai,Hernandez Ltd,Italian,258.08,31,4,23,Weekend
146,Zomato,Kolkata,Stafford Inc,South Indian,331.27,76,5,13,Weekend
147,Swiggy,Hyderabad,Robinson-Brock,North Indian,226.68,43,5,20,Weekend
148,Zomato,Mumbai,"Holmes, Williams and Wright",Biryani,455.12,48,4,16,Weekend
149,Zomato,Pune,Bryant Group,Italian,840.18,62,2,12,Weekend
150,Swiggy,Pune,"Schmidt, Hansen and Stewart",Fast Food,395.21,43,4,19,Weekend
151,Zomato,Chennai,Salazar-Ball,Italian,205.01,20,5,13,Weekend
152,Swiggy,Mumbai,"Simmons, Meadows and Griffin",South Indian,898.53,32,3,14,Weekend
153,Swiggy,Hyderabad,Manning Group,Mughlai,189.12,77,4,13,Weekday
154,Zomato,Delhi,Green-Wright,Italian,500.23,45,5,10,Weekend
155,Zomato,Mumbai,"Ramirez, Strickland and Washington",Italian,348.29,30,5,22,Weekend
156,Swiggy,Chennai,Hill Inc,South Indian,677.53,17,2,14,Weekday
157,Swiggy,Kolkata,"Mitchell, Nelson and Flores",Fast Food,284.69,85,3,12,Weekday
158,Zomato,Kolkata,"Miller, Hernandez and Reyes",South Indian,809.78,15,3,11,Weekday
159,Zomato,Kolkata,Mccarthy Inc,South Indian,198.93,18,2,14,Weekday
160,Zomato,Mumbai,Russell-Daniels,South Indian,338.83,31,4,17,Weekday
161,Swiggy,Hyderabad,Brown-Wall,Italian,800.22,80,4,16,Weekday
162,Swiggy,Chennai,Stein-Silva,Biryani,917.88,81,3,19,Weekday
163,Swiggy,Hyderabad,"Smith, Gilmore and Johnston",Biryani,461.46,28,4,23,Weekend
164,Swiggy,Mumbai,Smith-Bell,Chinese,647.47,23,2,18,Weekend
165,Zomato,Pune,Castaneda-Ashley,Fast Food,365.41,79,4,10,Weekday
166,Swiggy,Hyderabad,Medina-Navarro,Italian,899.28,67,3,16,Weekend
167,Zomato,Chennai,"Hurst, Freeman and Nelson",North Indian,381.29,55,4,14,Weekday
168,Zomato,Mumbai,Johnson-Rogers,North Indian,848.59,26,4,20,Weekend
169,Swiggy,Pune,"Yates, Ramsey and Pittman",North Indian,627.82,86,4,19,Weekday
170,Zomato,Bangalore,Hooper PLC,Biryani,698.81,69,5,20,Weekday
171,Zomato,Pune,Meadows PLC,Chinese,416.48,88,4,11,Weekend
172,Swiggy,Kolkata,"Alvarado, Miller and Patterson",North Indian,415.1,86,3,21,Weekend
173,Swiggy,Kolkata,White-Green,Italian,860.64,86,1,23,Weekend
174,Swiggy,Delhi,Lewis-Murphy,Chinese,732.43,54,5,14,Weekday
175,Swiggy,Kolkata,Ramirez-Bean,South Indian,609.69,66,2,20,Weekday
176,Swiggy,Chennai,King-Miller,Fast Food,293.62,68,4,11,Weekend
177,Zomato,Chennai,Curry Inc,Chinese,799.15,87,4,23,Weekday
178,Swiggy,Delhi,Walker-Jones,Biryani,656.05,25,3,19,Weekend
179,Zomato,Pune,"Williams, Johnson and Wright",Italian,472.77,42,4,10,Weekend
180,Zomato,Mumbai,Howell and Sons,Chinese,710.4,90,4,19,Weekend
181,Swiggy,Delhi,Wells Inc,Italian,986.0,22,1,13,Weekday
182,Swiggy,Kolkata,"Gould, Marshall and Scott",Chinese,360.5,30,1,20,Weekend
183,Swiggy,Delhi,Jackson-Lawson,Italian,579.32,44,4,22,Weekend
184,Swiggy,Hyderabad,"Higgins, Strickland and Martin",Biryani,767.84,70,1,23,Weekday
185,Zomato,Pune,Rodriguez-Johnson,Italian,616.06,68,3,15,Weekday
186,Zomato,Delhi,Johnston-Odonnell,Biryani,952.85,73,5,23,Weekend
187,Swiggy,Hyderabad,Sanders-Espinoza,Biryani,195.28,70,4,17,Weekday
188,Zomato,Kolkata,Vargas Ltd,Chinese,771.22,43,3,11,Weekday
189,Swiggy,Pune,Garcia LLC,Fast Food,274.51,59,3,22,Weekday
190,Swiggy,Mumbai,"Burke, Martinez and Riggs",South Indian,330.37,37,4,21,Weekday
191,Swiggy,Kolkata,Reed Group,Mughlai,544.71,87,4,16,Weekend
192,Zomato,Delhi,"Wood, Hunter and Peterson",Italian,161.46,71,4,21,Weekend
193,Swiggy,Bangalore,Short-Garcia,Fast Food,166.77,74,4,9,Weekend
194,Zomato,Mumbai,Reid-Poole,Mughlai,877.83,26,4,17,Weekend
195,Zomato,Pune,"Hernandez, Thompson and Boyd",Fast Food,958.81,20,4,21,Weekday
196,Zomato,Pune,"Nelson, Morton and Medina",Italian,551.23,22,4,21,Weekend
197,Swiggy,Pune,Marshall-Petersen,Mughlai,255.3,46,4,16,Weekday
198,Zomato,Bangalore,"Adams, Christian and Rivas",Chinese,448.67,58,4,9,Weekend
199,Swiggy,Bangalore,Ramirez Group,North Indian,602.17,64,3,20,Weekday
200,Zomato,Mumbai,Christensen PLC,Fast Food,697.25,59,3,19,Weekend
201,Swiggy,Pune,"Barnett, Rogers and Snyder",Mughlai,944.2,54,4,19,Weekend
202,Swiggy,Chennai,White-Lewis,Mughlai,846.06,82,2,19,Weekend
203,Zomato,Mumbai,Peterson-Beard,Chinese,377.98,42,3,21,Weekend
204,Swiggy,Delhi,"Beard, Peters and Black",South Indian,239.45,52,5,10,Weekday
205,Zomato,Kolkata,Miller Ltd,Fast Food,217.94,63,3,11,Weekday
206,Zomato,Mumbai,Freeman-Chang,Italian,427.87,45,5,18,Weekend
207,Zomato,Delhi,"Alvarez, Joseph and West",Fast Food,315.25,75,5,12,Weekend
208,Zomato,Hyderabad,Davis and Sons,Biryani,353.59,63,4,15,Weekday
209,Swiggy,Kolkata,Holt-Torres,Fast Food,224.56,47,2,16,Weekend
210,Swiggy,Chennai,"Wood, Tran and Cooper",Biryani,564.32,30,3,21,Weekday
211,Zomato,Hyderabad,"Pierce, Bell and Chavez",Fast Food,232.61,70,2,23,Weekday
212,Zomato,Bangalore,King-Martinez,North Indian,473.41,65,4,12,Weekend
213,Swiggy,Bangalore,Stewart Ltd,South Indian,125.37,27,5,19,Weekend
214,Swiggy,Delhi,"Tapia, Vaughn and Lee",North Indian,358.19,75,4,11,Weekend
215,Zomato,Pune,"Washington, Hardy and Bray",North Indian,915.27,17,3,22,Weekday
216,Zomato,Mumbai,"Carlson, Hooper and Wall",Biryani,359.29,53,2,12,Weekend
217,Zomato,Mumbai,Perez-White,North Indian,853.02,78,4,9,Weekday
218,Swiggy,Bangalore,Erickson and Sons,Italian,101.41,60,3,15,Weekday
219,Swiggy,Pune,Williams-Brown,Chinese,160.91,82,4,21,Weekday
220,Zomato,Kolkata,Terry-Martinez,Italian,139.18,64,5,13,Weekday
221,Zomato,Kolkata,Garcia-Smith,North Indian,410.32,28,4,20,Weekend
222,Swiggy,Mumbai,Harrison-Alexander,Chinese,591.41,37,5,19,Weekend
223,Zomato,Chennai,Sheppard LLC,South Indian,830.35,23,4,16,Weekday
224,Zomato,Delhi,Wilson-Jones,North Indian,812.0,20,3,13,Weekend
225,Zomato,Bangalore,Jones-Soto,North Indian,777.96,39,3,22,Weekday
226,Zomato,Bangalore,Hernandez PLC,North Indian,819.41,70,5,20,Weekend
227,Zomato,Bangalore,Miller-Wright,South Indian,546.58,78,3,21,Weekend
228,Swiggy,Chennai,"Duran, Obrien and Gibbs",Italian,171.03,38,4,14,Weekday
229,Swiggy,Bangalore,Rowe Group,Mughlai,366.08,72,4,15,Weekday
230,Zomato,Bangalore,Kerr-Evans,Italian,138.12,60,4,15,Weekend
231,Swiggy,Mumbai,"Branch, Torres and Oliver",Mughlai,673.76,61,4,20,Weekday
232,Swiggy,Delhi,"Choi, Garcia and Farmer",Biryani,646.82,71,1,10,Weekday
233,Zomato,Bangalore,"Clark, Guerrero and Moore",Italian,954.52,19,4,19,Weekend
234,Zomato,Bangalore,Arnold and Sons,Italian,786.78,88,2,14,Weekend
235,Zomato,Chennai,Ortiz Ltd,Chinese,324.65,29,1,11,Weekend
236,Zomato,Pune,"Harrison, Johnson and Roberts",North Indian,335.6,48,4,12,Weekend
237,Zomato,Delhi,Warner-Gibson,North Indian,222.16,24,4,23,Weekend
238,Swiggy,Kolkata,"Hall, Baker and Moody",Mughlai,970.81,55,4,20,Weekday
239,Zomato,Bangalore,"Guerrero, Peck and Coleman",Biryani,241.75,37,4,17,Weekday
240,Swiggy,Delhi,"Walker, Hernandez and Baker",Biryani,224.99,78,1,17,Weekend
241,Zomato,Kolkata,Jones and Sons,Fast Food,216.79,26,2,15,Weekend
242,Zomato,Kolkata,Larson-Holloway,Italian,841.01,24,2,14,Weekday
243,Zomato,Hyderabad,Gonzales-Harrison,Mughlai,565.62,31,5,21,Weekday
244,Swiggy,Hyderabad,Lyons-Bender,Fast Food,919.64,22,5,17,Weekday
245,Zomato,Delhi,"Fernandez, Kim and George",South Indian,390.39,43,3,17,Weekend
246,Swiggy,Bangalore,Navarro-Munoz,South Indian,671.55,85,3,19,Weekend
247,Swiggy,Pune,Davis Ltd,Mughlai,251.77,89,3,19,Weekend
248,Swiggy,Kolkata,"Matthews, Smith and Hubbard",Biryani,125.54,20,5,21,Weekend
249,Swiggy,Kolkata,Johnston-Hines,Fast Food,474.93,18,4,19,Weekend
250,Zomato,Hyderabad,Ruiz Ltd,South Indian,824.22,66,3,10,Weekday
251,Swiggy,Hyderabad,Moon-White,Italian,535.83,41,3,11,Weekend
252,Zomato,Chennai,"Graham, Olsen and Costa",Biryani,410.83,66,2,14,Weekday
253,Zomato,Delhi,Bailey-Cook,Italian,210.27,72,3,10,Weekday
254,Zomato,Hyderabad,"Garcia, Martin and Jenkins",Biryani,653.84,46,5,23,Weekday
255,Zomato,Pune,Roberts-Landry,Mughlai,381.44,35,4,17,Weekend
256,Zomato,Bangalore,"Johnson, Miller and King",Italian,120.86,65,4,12,Weekday
257,Zomato,Mumbai,Cordova Group,North Indian,353.22,75,3,9,Weekday
258,Zomato,Delhi,"Bryan, Smith and Booth",Chinese,754.76,66,3,15,Weekday
259,Swiggy,Bangalore,Gutierrez-Lopez,Fast Food,359.74,64,4,21,Weekend
260,Swiggy,Delhi,Dean-Jimenez,North Indian,454.51,58,4,14,Weekday
261,Swiggy,Pune,Wolf-Harris,Fast Food,461.25,20,1,11,Weekend
262,Zomato,Pune,"Anderson, Roberts and Gilmore",Italian,234.05,80,2,23,Weekend
263,Swiggy,Hyderabad,Martinez-Dudley,Fast Food,765.39,53,4,17,Weekend
264,Zomato,Hyderabad,"Lloyd, Mckinney and Collins",Biryani,114.97,57,4,15,Weekend
265,Swiggy,Pune,Tran Inc,Italian,338.98,89,4,20,Weekday
266,Zomato,Delhi,Gay Inc,Fast Food,666.12,63,2,19,Weekday
267,Swiggy,Pune,Valentine-Holland,Mughlai,198.91,17,4,15,Weekday
268,Zomato,Chennai,Jimenez Ltd,South Indian,469.34,75,5,20,Weekday
269,Swiggy,Pune,Hicks-Hill,South Indian,604.8,76,4,14,Weekday
270,Zomato,Pune,Baird-Sanchez,Chinese,591.65,48,4,12,Weekday
271,Zomato,Pune,"Thomas, Lee and Greene",Chinese,302.38,53,4,20,Weekday
272,Zomato,Bangalore,"Suarez, Shields and Hill",Italian,413.92,50,3,18,Weekend
273,Zomato,Kolkata,Morgan-French,Chinese,959.15,33,3,13,Weekday
274,Zomato,Hyderabad,Hoover-Campbell,Mughlai,330.8,76,3,22,Weekend
275,Zomato,Delhi,Monroe-Carpenter,North Indian,654.11,90,3,9,Weekday
276,Swiggy,Mumbai,"Burns, Hernandez and Ryan",North Indian,471.97,75,2,21,Weekday
277,Swiggy,Pune,Cook-Hines,South Indian,466.22,75,4,12,Weekend
278,Zomato,Bangalore,Gibson-Morris,Mughlai,153.25,26,4,12,Weekday
279,Swiggy,Hyderabad,Pollard and Sons,Biryani,258.21,19,5,15,Weekend
280,Swiggy,Chennai,"Reyes, Chase and Jenkins",Biryani,933.44,19,1,18,Weekday
281,Zomato,Bangalore,Garner-Thornton,Italian,990.19,84,4,23,Weekday
282,Zomato,Bangalore,Hughes-Alvarado,South Indian,827.93,57,3,16,Weekend
283,Swiggy,Mumbai,"Pollard, Simpson and Johnson",Mughlai,403.4,52,4,21,Weekday
284,Swiggy,Pune,"Sanford, Rivera and Garcia",Biryani,674.85,66,5,17,Weekend
285,Swiggy,Hyderabad,Garcia-Lozano,Mughlai,185.85,32,4,23,Weekday
286,Swiggy,Bangalore,Bowen Group,Italian,311.97,49,5,13,Weekday
287,Zomato,Chennai,"Booker, Jones and Harrington",Chinese,723.49,22,4,16,Weekend
288,Swiggy,Hyderabad,Morgan-Schwartz,Mughlai,552.27,54,4,19,Weekend
289,Zomato,Pune,"Miller, Murphy and Craig",South Indian,297.22,32,4,16,Weekend
290,Zomato,Chennai,"James, Stewart and Higgins",Fast Food,921.52,83,5,22,Weekday
291,Swiggy,Chennai,Brennan-Johnson,Biryani,636.23,25,4,17,Weekend
292,Swiggy,Pune,Young Ltd,North Indian,155.58,85,5,12,Weekday
293,Swiggy,Bangalore,Bright-Francis,Biryani,568.31,29,4,20,Weekend
294,Swiggy,Pune,Good-Hodges,Italian,827.82,73,2,15,Weekend
295,Swiggy,Pune,"Brennan, Wallace and Benson",Italian,705.49,54,4,15,Weekend
296,Swiggy,Chennai,Williams Inc,South Indian,620.48,20,4,20,Weekday
297,Swiggy,Mumbai,Howard-Jordan,Italian,128.56,67,3,11,Weekend
298,Zomato,Hyderabad,Schmidt PLC,Italian,882.66,63,3,19,Weekday
299,Zomato,Mumbai,"Sparks, Jackson and Miller",South Indian,993.56,65,4,20,Weekday
300,Swiggy,Kolkata,Harvey-Allen,North Indian,980.64,74,4,17,Weekend
301,Zomato,Kolkata,"Thomas, Murray and King",South Indian,322.76,59,3,12,Weekday
302,Swiggy,Kolkata,Estrada-Nolan,Mughlai,477.32,17,3,10,Weekday
303,Swiggy,Hyderabad,Santana-Byrd,Fast Food,704.82,21,3,9,Weekend
304,Zomato,Delhi,Jones LLC,Fast Food,295.54,22,2,13,Weekday
305,Zomato,Pune,"Evans, Hayden and Vaughn",Fast Food,795.28,56,3,23,Weekday
306,Swiggy,Hyderabad,Bruce-Gonzalez,Chinese,347.64,86,5,23,Weekday
307,Zomato,Pune,Castaneda-Rodriguez,Italian,142.2,59,5,19,Weekend
308,Zomato,Chennai,Armstrong-Andrews,Italian,467.43,53,3,21,Weekend
309,Swiggy,Kolkata,"Phillips, Spence and Barrett",South Indian,370.66,33,5,23,Weekday
310,Zomato,Hyderabad,Smith-Grimes,Fast Food,576.99,64,3,12,Weekend
311,Swiggy,Hyderabad,"Beltran, Lozano and Mcgee",Biryani,433.97,83,4,12,Weekday
312,Zomato,Hyderabad,Parsons-Hall,Mughlai,644.47,20,5,12,Weekday
313,Zomato,Delhi,Robinson-Lee,Biryani,916.33,53,5,9,Weekday
314,Swiggy,Chennai,Byrd-Le,North Indian,772.19,76,5,20,Weekday
